raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
4_6_7_8,y_half,2,-5.054175242392555,8.11540724435613,4383.297607834535,0.7363911081116968,mother_x_adj_xj
4_6_7_8,y_half,3,-5.054175242392555,8.11540724435613,4385.297607834535,0.7363911081116968,mother_y_adj_xi2_xj
4_6_7_8,y_half,4,-2.277343709352751,4.393163034807599,3842.3187702924865,0.7363911081116968,mother_y_adj_xj_minus_xi_pow2
4_6_7_8,y_half,5,-2.08507396693585,4.135432262570491,3790.632407107863,0.7363911081116968,mother_x_adj_xi_xj
4_6_7_8,y_half,6,0.027308089213645803,1.3038590168398612,2767.6464024358747,0.7363911081116968,mother_x_adj_xj_pow2
4_6_7_8,y_half,7,0.02746206267934337,1.3036526208686625,2769.5058242538585,0.7363911081116968,mother_y_adj_xj_pow2
4_6_7_8,y_half,8,0.46142513548009545,0.7219405091791945,2246.7132987918167,0.7363911081116968,mother_2d_couple_xz_xi_xj
4_6_7_8,y_half,9,0.46634177858612413,0.715349923429184,2240.5695290543044,0.7363911081116968,mother_y_adj_xj_pow3
4_6_7_8,y_half,10,0.5217813702488749,0.6410351165742983,2145.1669518823646,0.7363911081116968,mother_x_adj_xj_minus_xi_pow2
4_6_7_8,y_half,11,0.7939889853335638,0.2761504604515624,1399.34807423859,0.7363911081116968,mother_z_adj_xi_xj2
4_6_7_8,y_half,12,0.8268563994528011,0.2320928572327462,1247.006281229635,0.7363911081116968,mother_2d_couple_xz_xi_xj2
4_6_7_8,y_half,13,0.8264071942055089,0.23269500093888665,1251.3071326860481,0.7363911081116968,mother_3d_couple_prod_xyz
4_6_7_8,y_half,14,0.8264071942055089,0.23269500093888665,1253.3071326860481,0.7363911081116968,mother_y_adj_xi_xj_pow3
4_6_7_8,y_half,15,0.8206245411666754,0.240446442296967,1284.4058132109303,0.7363911081116968,mother_2d_couple_xy_xj_minus_xi_pow2
4_6_7_8,y_half,16,0.8254522685687332,0.23397504489536922,1262.1785912001874,0.7363911081116968,mother_x_adj_xi_xj_pow2
4_6_7_8,y_half,17,0.8361341766013384,0.2196563259352137,1208.1011302631491,0.7363911081116968,mother_x_adj_xj_pow3
4_6_7_8,y_half,18,0.8459631925619079,0.20648087855589822,1155.1726828007525,0.7363911081116968,mother_x_adj_xi_xj2
4_6_7_8,y_half,19,0.8466204962015071,0.20559978633359288,1153.3753142154726,0.7363911081116968,mother_3d_couple_prod_sq_xy2z
4_6_7_8,y_half,20,0.8465931206969429,0.2056364822267846,1155.5337922279048,0.7363911081116968,mother_2d_couple_yz_xi_xj_pow3
4_6_7_8,z_mean,1,0.9567416277807581,1.7414581232443564,3014.6286495486743,1.5594289365600325,mother_z
4_6_7_8,z_mean,2,0.9567416277807581,1.7414581232443564,3016.6286495486743,1.5594289365600325,mother_y_y
4_6_7_8,z_mean,3,0.9567416277807581,1.7414581232443564,3018.6286495486743,1.5594289365600325,mother_y_adj_xj
4_6_7_8,z_mean,4,0.9567416277807581,1.7414581232443564,3020.6286495486743,1.5594289365600325,mother_y_y_y
4_6_7_8,z_mean,5,0.9600194836878523,1.6095010360173334,2952.6555382870574,1.5594289365600325,mother_x
4_6_7_8,z_mean,6,0.9600194836878523,1.6095010360173334,2954.6555382870574,1.5594289365600325,mother_y_adj_xi2_xj
4_6_7_8,z_mean,7,0.9600194836878523,1.6095010360173334,2956.6555382870574,1.5594289365600325,mother_2d_couple_yz_xi_xj
4_6_7_8,z_mean,8,0.9600194836878523,1.6095010360173334,2958.6555382870574,1.5594289365600325,mother_y_adj_xi_xj
4_6_7_8,z_mean,9,0.9832677241123696,0.6735934865324983,2187.1607396363333,1.5594289365600325,mother_y_adj_xj_pow2
4_6_7_8,z_mean,10,0.9837064722058685,0.6559307453731865,2165.5651757520873,1.5594289365600325,mother_x_adj_xi_xj
4_6_7_8,z_mean,11,0.9837147339376506,0.6555981517228485,2167.1147957894573,1.5594289365600325,mother_y_adj_xj_minus_xi_pow2
4_6_7_8,z_mean,12,0.9837147339376506,0.6555981517228485,2169.1147957894573,1.5594289365600325,mother_z_z
4_6_7_8,z_mean,13,0.9867359756395346,0.5339716171559676,1988.8924525403709,1.5594289365600325,mother_x_adj_xj_pow2
4_6_7_8,z_mean,14,0.9852580796436692,0.5934674755360833,2084.700528584704,1.5594289365600325,mother_2d_couple_yz_xi_xj_pow2
4_6_7_8,z_mean,15,0.9840237317773388,0.6431587840262827,2158.103920225757,1.5594289365600325,mother_2d_couple_xz_xi2_xj
4_6_7_8,z_mean,16,0.9897788270174842,0.4114751389459435,1763.4849063510906,1.5594289365600325,mother_z_adj_xi_xj2
4_6_7_8,z_mean,17,0.9908132677672032,0.36983151820396987,1670.7343678406378,1.5594289365600325,mother_2d_couple_xz_xi_xj2
4_6_7_8,z_mean,18,0.98743997062653,0.5056307960401666,1950.4645420055108,1.5594289365600325,mother_2d_couple_xy_xj_minus_xi_pow2
4_6_7_8,z_mean,19,0.9874410428350494,0.5055876319972252,1952.388733121708,1.5594289365600325,mother_z_adj_xi2_xj
4_6_7_8,z_mean,20,0.9876402979594756,0.4975661915863074,1940.187140628265,1.5594289365600325,mother_z_adj_xj_pow3
4_6_7_8,z_half,1,-1.4405175869561568,6.64758644066884,4204.1322515833235,19.011417434592296,mother_y_adj_xi2_xj
4_6_7_8,z_half,2,-1.4405175869561568,6.64758644066884,4206.1322515833235,19.011417434592296,mother_y_y_y
4_6_7_8,z_half,3,-0.4849488828661721,4.04476743441097,3766.94739516715,19.011417434592296,mother_x_adj_xi_xj
4_6_7_8,z_half,4,0.451911653283697,1.4929065381020552,2883.878560851901,19.011417434592296,mother_2d_couple_xz_xi_xj
4_6_7_8,z_half,5,0.6264481597077678,1.0174965186424387,2545.4373875317474,19.011417434592296,mother_z_adj_xj_pow2
4_6_7_8,z_half,6,0.6264481597077678,1.0174965186424387,2547.4373875317474,19.011417434592296,mother_y_adj_xj_pow3
4_6_7_8,z_half,7,0.8108668065169296,0.5151691015046317,1945.0598841285582,19.011417434592296,mother_x_x
4_6_7_8,z_half,8,0.8108668065169296,0.5151691015046317,1947.0598841285582,19.011417434592296,mother_3d_couple_prod_xyz
4_6_7_8,z_half,9,0.8108668065169296,0.5151691015046317,1949.0598841285582,19.011417434592296,mother_2d_couple_yz_xi_xj2
4_6_7_8,z_half,10,0.8332677661908743,0.45415240710243726,1839.1165093069817,19.011417434592296,mother_x_adj_xj_pow2
4_6_7_8,z_half,11,0.8332677661908743,0.45415240710243726,1841.1165093069817,19.011417434592296,mother_y_adj_xi_xj_pow3
4_6_7_8,z_half,12,0.8646096586563038,0.36878201661984145,1658.2108342470387,19.011417434592296,mother_x_adj_xi2_xj
4_6_7_8,z_half,13,0.8650961074238195,0.3674570066103662,1657.0145620538872,19.011417434592296,mother_z_z_z
4_6_7_8,z_half,14,0.8789110548626838,0.3298272604598021,1563.077476297337,19.011417434592296,mother_x_adj_xi_xj_pow2
4_6_7_8,z_half,15,0.8789110548626838,0.3298272604598021,1565.077476297337,19.011417434592296,mother_2d_couple_xz_xi_xj2
4_6_7_8,z_half,16,0.8774935731568102,0.3336882579048619,1577.4121386678896,19.011417434592296,mother_x_adj_xj_pow3
4_6_7_8,z_half,17,0.8774935731568102,0.3336882579048619,1579.4121386678896,19.011417434592296,mother_3d_couple_prod_sq_xy2z
4_6_7_8,z_half,18,0.8943771929737294,0.28769993036146513,1449.7313565476825,19.011417434592296,mother_2d_couple_xz_xj_minus_xi_pow2
4_6_7_8,z_half,19,0.8959056530809182,0.2835366451886984,1438.7872880038813,19.011417434592296,mother_2d_couple_xy_xi_xj_pow3
4_6_7_8,z_half,20,0.8936395740870791,0.28970908831037157,1459.911168090475,19.011417434592296,mother_x_adj_xi_xj_pow3
8_to_12,x_mean,1,-0.601637934143286,131.27922094814076,6729.65752079798,463.4735470547498,mother_x
8_to_12,x_mean,2,-0.601637934143286,131.27922094814076,6731.65752079798,463.4735470547498,mother_y_adj_xj
8_to_12,x_mean,3,-0.601637934143286,131.27922094814076,6733.65752079798,463.4735470547498,mother_x_adj_xj
8_to_12,x_mean,4,-0.601637934143286,131.27922094814076,6735.65752079798,463.4735470547498,mother_y
8_to_12,x_mean,5,-0.601637934143286,131.27922094814076,6737.65752079798,463.4735470547498,mother_y_adj_xi_xj
8_to_12,x_mean,6,0.08283169834662418,75.1762539788926,6253.525279021009,463.4735470547498,mother_x_adj_xi_xj
8_to_12,x_mean,7,0.08283169834662418,75.1762539788926,6255.525279021009,463.4735470547498,mother_y_adj_xi2_xj
8_to_12,x_mean,8,0.08283169834662418,75.1762539788926,6257.525279021009,463.4735470547498,mother_y_adj_xi_xj2
8_to_12,x_mean,9,0.08283169834662418,75.1762539788926,6259.525279021009,463.4735470547498,mother_2d_couple_xy_xi_xj2
