feature_added,R2,MSE,WAIC,R2_gain,WAIC_gain,MSE_drop,prev_R2,prev_WAIC,prev_MSE,composite_score,k,raw_stage,target,target_index
mother_y,0.844630902740046,2.552595342496844,3293.7892651242714,0.8549592141518139,1630.5819954400354,14.046325469840916,-0.0103283114117678,4924.371260564307,16.59892081233776,0.9999999999994148,1,8_to_12,y_mean,3
mother_z_adj_xi_xj2,0.9515305787140692,0.7963154913681358,2280.0222338792,0.1068996759740232,1013.7670312450714,1.756279851128708,0.844630902740046,3293.7892651242714,2.552595342496844,0.9999999999953222,2,8_to_12,y_mean,3
mother_z_adj_xi2_xj,0.9646408493266794,0.5809237803084414,2007.0144559762784,0.01311027061261,273.0077779029216,0.2153917110596944,0.9515305787140692,2280.0222338792,0.7963154913681358,0.99999999996186,3,8_to_12,y_mean,3
mother_y_adj_xi_xj,0.9676959171750276,0.5307313540265413,1930.2174032543712,0.0030550678483483,76.79705272190722,0.0501924262819001,0.9646408493266794,2007.0144559762784,0.5809237803084414,0.999999999836331,4,8_to_12,y_mean,3
mother_2d_couple_yz_xi_xj2,0.9714418851560652,0.4691879674060973,1824.741225815868,0.0037459679810374,105.47617743850331,0.0615433866204438,0.9676959171750276,1930.2174032543712,0.5307313540265413,0.9999999998665184,5,8_to_12,y_mean,3
mother_x_adj_xj_pow3,0.9754512604881936,0.4033169996293477,1694.8245258560069,0.0040093753321286,129.91669995986103,0.0658709677767496,0.9714418851560652,1824.741225815868,0.4691879674060973,0.9999999998752884,6,8_to_12,y_mean,3
mother_x_x,0.9790587680672296,0.3440484114308733,1558.228432579905,0.0036075075790358,136.59609327610178,0.0592685881984744,0.9754512604881936,1694.8245258560069,0.4033169996293477,0.9999999998613964,7,8_to_12,y_mean,3
mother_2d_couple_xy_xi2_xj,0.9813977223110124,0.3056211835310781,1456.952235654725,0.0023389542437829,101.2761969251801,0.0384272278997951,0.9790587680672296,1558.228432579905,0.3440484114308733,0.9999999997862244,8,8_to_12,y_mean,3
mother_z,0.9837965018993582,0.2662110710127396,1338.566637557013,0.0023987795883456,118.38559809771186,0.0394101125183384,0.9813977223110124,1456.952235654725,0.3056211835310781,0.9999999997915564,9,8_to_12,y_mean,3
mother_x_adj_xi_xj2,0.9855614612443548,0.2372141399422251,1240.002176394108,0.0017649593449966,98.564461162905,0.0289969310705145,0.9837965018993582,1338.566637557013,0.2662110710127396,0.9999999997167024,10,8_to_12,y_mean,3
mother_y_y_y,0.9864529421228884,0.2225677914816818,1186.4282724434092,0.0008914808785334,53.57390395069888,0.0146463484605432,0.9855614612443548,1240.002176394108,0.2372141399422251,0.9999999994391262,11,8_to_12,y_mean,3
